number,year,island,year.island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness,PC1,PC2,PC3
79,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,10,7.14,4.83,6.43,5.26,10.96,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-2.678904561,-1.591485594,0.815588244
80,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,11,5.95,4.04,4.36,2.16,4.39,0,20,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.647144857,-2.51175517,-0.047254439
81,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,13,5.75,3.83,5.6,5.21,12.33,1,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.770509527,-0.766855004,0.754526605
82,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,14,5.23,3.45,4.28,4.33,9.42,1,30,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.870748648,-0.755098584,0.490846463
83,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,15,5.83,3.54,4.89,3.59,8.07,0,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.339499642,-1.376202894,0.012431734
84,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,16,5.85,3.14,5.64,6.24,9.95,1,30,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.57450191,0.39494305,0.426488782
85,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,17,6.44,3.66,4.13,4.81,9.88,0,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.207326554,-0.499138518,0.135657665
86,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,18,6.42,4.99,5.46,5.11,9.03,0,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-1.811201804,-1.63733763,1.314345184
87,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,19,5.83,3.33,4.99,6.14,12.51,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.239766949,0.334260897,0.573541644
88,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,21,5.45,5.19,3.88,4.7,8.85,0,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.387079514,-1.753200212,1.91684726
89,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,22,6.46,4.27,5.18,2.84,6.45,0,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.476667156,-2.418799695,0.046664164
90,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,23,5.99,3.61,5.27,5.03,8.99,1,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.419779822,-0.616963931,0.392476234
91,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,24,6.14,3,4.96,2.86,7.83,1,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.780359692,-1.406326299,-0.816010316
