year,island,year island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,53,8.34,3.56,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.103,0.83
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,54,5.39,3.22,,NA,,1,,1,,1,1,1,1,0,0,0,,,,,,,,,,,0.017,0.87
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,55,5.54,3.36,,9.79,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.057,0.71
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,56,8.38,3.54,,12.47,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.114,0.57
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,57,7.14,3.82,,11.84,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.082,0.9
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,58,7.46,3.22,,9.44,,1,,1,,1,1,1,1,0,0,0,,,,,,,,,,,0.052,1.1
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,59,8.97,3.45,,11.61,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.095,0.55
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,60,8.28,3.11,,10.49,,1,,1,,1,1,1,1,1,0,0,,,,,,,,,,,0.071,0.77
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,61,7.62,3.27,,11.26,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.084,0.88
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,62,7.99,3.31,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.101,0.55
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,63,6.72,3.27,,12.43,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.069,0.86
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,64,6.7,2.61,,NA,,1,,0,,,,,,,,0,,,,,,,,,,,0.054,NA
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,65,6.4,2.94,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.044,0.61
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,66,8.62,3.7,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.099,0.65
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,67,8.91,3.77,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.103,0.69
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,68,8.4,3.65,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.106,0.75
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,69,8.56,3.38,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.09,0.64
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,70,8,3.8,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.087,0.69
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,71,7.61,3.2,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.068,0.65
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,72,7.59,3.83,,7.58,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.069,0.81
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,73,9.57,3.91,,12.07,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.0136,0.72
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,74,6.69,3.73,,NA,,1,,0,,,,,,,,0,,,,,,,,,,,0.062,0.606
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,75,8.87,3.37,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.085,0.8
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,76,8.67,3.57,,11.64,,1,,1,,1,1,1,0,0,0,0,,,,,,,,,,,0.092,0.73
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,77,9.27,3.65,,13.58,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.122,0.61
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,78,7.11,3.1,,8.73,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.054,0.74
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,79,8,3.06,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.08,0.81
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,80,7.45,3.46,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.058,0.94
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,81,6.378,2.56,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.049,0.65
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,82,6.89,3.03,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.047,0.69
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,83,8.06,3.02,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.075,0.94
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,84,8.17,3.33,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.09,0.87
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,85,7.47,3.25,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.072,0.92
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,86,7.67,3.16,,NA,,1,,1,,1,1,1,1,1,0,0,,,,,,,,,,,0.033,0.77
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,87,10.18,3.94,,10.48,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.152,0.87
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,88,8.47,3.63,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.087,0.74
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,89,5.97,3.48,,NA,,0,,1,,1,1,1,1,0,0,0,,,,,,,,,,,0.028,0.59
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,90,6.76,3.28,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.053,0.69
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,91,7.65,2.87,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.075,0.77
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,92,7.9,3.36,,10.64,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.088,0.58
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,93,7.25,3.62,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.077,0.51
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,94,8.41,3.52,,12.86,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.1,0.99
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,95,8.63,3.39,,NA,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.08,0.67
